Iteration	Replicate_ID	Posterior	Likelihood	Prior	mu_morpho	pi[1]	pi[2]	r[1]	r[2]	r[3]	r[4]	r[5]	r[6]	r[7]	r[8]	rate_01	rate_10
107	1	-43.3176	-49.0281	5.71054	0.4391928	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	2.086439	0.3263155
108	0	-42.6275	-49.0082	6.38071	0.7147268	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.006874422	1.280411
109	1	-44.3897	-48.9698	4.58008	0.7004531	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.6383754	2.808802
110	0	-41.6279	-48.9381	7.31021	0.4635375	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.3644387	0.1155964
111	1	-45.3604	-48.7878	3.42735	0.5499338	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.6956797	4.302483
112	0	-42.0423	-49.5164	7.47406	0.360096	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.3049067	0.1032377
113	1	-43.8581	-48.8884	5.03029	0.6650986	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	2.19405	0.7594169
114	0	-44.0738	-50.2795	6.20565	0.2911735	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.04064229	1.959037
115	1	-43.2423	-49.2831	6.04078	0.7971678	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.4973627	1.096359
116	0	-42.0908	-48.8263	6.73548	0.6281894	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.01172176	0.9563369
117	1	-42.7146	-48.7923	6.07769	0.5418478	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	1.809965	0.04367693
118	0	-42.3807	-48.8363	6.45557	0.5049671	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.6051784	0.8426459
119	1	-42.5123	-49.0011	6.48884	0.7121742	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	1.016512	0.1451193
