Iteration	Posterior	Likelihood	Prior	cw	lb	to
278	-36.3833	-30.2346	-6.14869	2.718799	0.7959998	2.633889
279	-36.8255	-30.2838	-6.54172	2.718799	0.7959998	3.026925
280	-35.8317	-30.2788	-5.5529	2.261745	0.7959998	2.495158
281	-35.3908	-31.1447	-4.24612	0.9914716	1.066271	2.18838
282	-35.7139	-30.2796	-5.43432	2.291705	0.9542328	2.18838
283	-35.0444	-31.2556	-3.78884	2.291705	0.7267433	0.7703914
284	-32.2608	-30.2409	-2.01988	1.010841	0.2386469	0.7703914
285	-32.5137	-30.4154	-2.09835	1.194796	0.2386469	0.6649063
286	-33.516	-30.5547	-2.96122	1.194796	0.7734991	0.9929207
287	-34.9164	-31.2372	-3.6792	2.419133	0.4872992	0.772772
288	-33.9486	-30.7263	-3.22227	1.050619	0.9294807	1.242174
289	-34.1197	-30.7696	-3.35009	0.9928638	0.8896343	1.467596
290	-34.5659	-31.2365	-3.32939	0.787408	1.07439	1.467596
291	-34.3716	-32.3091	-2.06258	0.5683368	1.07439	0.4198486
292	-34.8194	-32.7239	-2.09551	0.5683368	1.157538	0.3696382
293	-37.1913	-33.6162	-3.57514	2.04796	1.157538	0.3696382
294	-34.4976	-31.0888	-3.40877	1.389149	1.157538	0.8620868
295	-33.2526	-30.2491	-3.00349	1.389149	0.4801133	1.134225
296	-34.5342	-30.3773	-4.1569	2.17097	0.6725953	1.313338
297	-35.2926	-30.3105	-4.98217	2.151838	0.9556117	1.874717
298	-35.6998	-31.7542	-3.9455	2.702394	0.5489976	0.6941124
299	-36.5988	-32.7405	-3.85828	1.007028	2.15714	0.6941124
300	-37.411	-32.4906	-4.92035	1.007028	2.711581	1.201744
301	-37.4776	-32.8278	-4.6498	1.008754	2.711581	0.9294681
302	-38.2861	-33.5642	-4.72197	0.500524	2.711581	1.509864
303	-36.2993	-31.5504	-4.74889	1.240923	2.068252	1.43971
304	-36.6717	-31.9992	-4.67245	1.721704	2.068252	0.8824923
305	-35.2275	-30.6822	-4.54524	1.580118	1.30828	1.656838
306	-38.1209	-33.287	-4.83391	0.9270484	3.01475	0.8921095
307	-38.11	-33.2273	-4.8827	0.9758417	3.01475	0.8921095
308	-38.3816	-31.7714	-6.61021	2.087416	3.01475	1.508044
309	-34.2128	-30.4942	-3.71859	2.087416	0.5508028	1.080375
310	-35.4934	-31.041	-4.45243	1.107891	1.172562	2.171979
311	-37.6301	-32.2464	-5.3837	0.8596709	2.352051	2.171979
312	-36.1509	-32.5064	-3.64458	0.8596709	2.010122	0.7747896
313	-34.6437	-30.3949	-4.24885	1.841466	0.9246074	1.482778
314	-34.7113	-30.4517	-4.25961	1.497671	0.8616178	1.900324
315	-33.5636	-30.3126	-3.251	1.497671	0.6037225	1.14961
316	-35.4745	-30.6453	-4.82921	1.497671	1.112377	2.219159
317	-34.0948	-31.2832	-2.81158	0.934955	1.112377	0.7642521
318	-34.4422	-32.1758	-2.26649	0.7108346	1.112377	0.4432815
319	-34.5909	-31.9286	-2.66228	0.7461652	1.290612	0.6255034
320	-33.9177	-32.0005	-1.91719	0.3146139	0.6786523	0.9239264
321	-31.8691	-30.331	-1.53807	0.6947453	0.2993873	0.5439356
322	-32.8528	-31.4593	-1.39349	0.8306537	0.2993873	0.2634445
323	-34.2789	-33.1148	-1.1641	0.8217418	0.2043046	0.1380583
324	-34.6134	-32.7935	-1.81987	0.8217418	0.7526223	0.2455101
325	-33.8846	-32.1717	-1.71289	0.6631706	0.7526223	0.2971003
326	-33.4119	-31.692	-1.71984	0.5822508	0.7526223	0.384966
327	-32.6634	-31.4356	-1.2278	0.4871469	0.4669442	0.2737136
328	-32.2831	-30.897	-1.38613	0.4871469	0.4625937	0.4363939
329	-31.6085	-30.4153	-1.19317	0.6417399	0.1861195	0.3653112
330	-32.205	-30.2537	-1.95127	0.9503382	0.2913541	0.709574
331	-32.4417	-30.5951	-1.84659	0.9881407	0.3519321	0.5065156
332	-31.7064	-30.2387	-1.46767	0.6803912	0.2247443	0.5625381
333	-32.3659	-30.4185	-1.94741	0.7646463	0.4389676	0.743794
334	-32.0802	-30.8147	-1.26551	0.3664813	0.1552331	0.743794
335	-32.0122	-31.0473	-0.964926	0.2376761	0.2447055	0.4825442
336	-32.4331	-31.7086	-0.724526	0.1337436	0.108238	0.4825442
337	-31.8437	-31.3581	-0.485634	0.1029457	0.0819324	0.3007555
338	-30.79	-30.35	-0.440021	0.2171621	0.07826557	0.1445934
339	-30.5619	-30.3444	-0.217464	0.1057301	0.03942561	0.07230787
340	-30.6359	-30.403	-0.232893	0.1280879	0.03249682	0.07230787
341	-30.5751	-30.4286	-0.146544	0.05515107	0.03249682	0.05889585
342	-31.8452	-31.628	-0.217163	0.04031796	0.04177158	0.1350737
343	-32.1109	-31.8303	-0.280592	0.04966946	0.09746244	0.1334606
