Filename	File.type	Source	Authorship	Species	Stage	Specimen_type	Specimen	Architecture	Orientation	Trait	State	Notes
KonaJJ22-143	JPG	Kona June-July 2022	Alejandro Damian-Serrano	Salpa maxima	Aggs	FreshLabTecto	D29-Smax-B-1	Linear	OAnormal	Colony.diameter..mm.	38.4	
KonaJJ22-143	JPG	Kona June-July 2022	Alejandro Damian-Serrano	Salpa maxima	Aggs	FreshLabTecto	D29-Smax-B-1	Linear	OAnormal	Colony.diameter..mm.	41.64	
KonaJJ22-143	JPG	Kona June-July 2022	Alejandro Damian-Serrano	Salpa maxima	Aggs	FreshLabTecto	D29-Smax-B-1	Linear	OAnormal	Zooid.width..mm.	35.92	
KonaJJ22-144	JPG	Kona June-July 2022	Alejandro Damian-Serrano	Salpa maxima	Aggs	FreshLabTecto	D29-Smax-B-1	Linear	DVnormal	Zooid.width..mm.	38.75	
KonaJJ22-143	JPG	Kona June-July 2022	Alejandro Damian-Serrano	Salpa maxima	Aggs	FreshLabTecto	D29-Smax-B-1	Linear	OAnormal	Zooid.length..mm.	134.04	
KonaJJ22-143	JPG	Kona June-July 2022	Alejandro Damian-Serrano	Salpa maxima	Aggs	FreshLabTecto	D29-Smax-B-1	Linear	OAnormal	Zooid.length..mm.	124.22	
KonaJJ22-216	JPG	Kona June-July 2022	Alejandro Damian-Serrano	Cyclosalpa bakeri	Aggs	FreshLabTecto	D30-Cbak-B-1	Whorl	OAnormal	Zooid.number	8	
KonaJJ22-216	JPG	Kona June-July 2022	Alejandro Damian-Serrano	Cyclosalpa bakeri	Aggs	FreshLabTecto	D30-Cbak-B-1	Whorl	OAnormal	Cross.sectional.area..mm2.	403.61	
KonaJJ22-216	JPG	Kona June-July 2022	Alejandro Damian-Serrano	Cyclosalpa bakeri	Aggs	FreshLabTecto	D30-Cbak-B-1	Whorl	OAnormal	Colony.diameter..mm.	24.19	
KonaJJ22-216	JPG	Kona June-July 2022	Alejandro Damian-Serrano	Cyclosalpa bakeri	Aggs	FreshLabTecto	D30-Cbak-B-1	Whorl	OAnormal	Colony.diameter..mm.	24.29	
KonaJJ22-216	JPG	Kona June-July 2022	Alejandro Damian-Serrano	Cyclosalpa bakeri	Aggs	FreshLabTecto	D30-Cbak-B-1	Whorl	OAnormal	Colony.diameter..mm.	23.48	
KonaJJ22-216	JPG	Kona June-July 2022	Alejandro Damian-Serrano	Cyclosalpa bakeri	Aggs	FreshLabTecto	D30-Cbak-B-1	Whorl	OAnormal	Zooid.width..mm.	6.67	
KonaJJ22-216	JPG	Kona June-July 2022	Alejandro Damian-Serrano	Cyclosalpa bakeri	Aggs	FreshLabTecto	D30-Cbak-B-1	Whorl	OAnormal	Zooid.width..mm.	6.72	
KonaJJ22-216	JPG	Kona June-July 2022	Alejandro Damian-Serrano	Cyclosalpa bakeri	Aggs	FreshLabTecto	D30-Cbak-B-1	Whorl	OAnormal	Zooid.width..mm.	6.31	
KonaJJ22-218	JPG	Kona June-July 2022	Alejandro Damian-Serrano	Cyclosalpa bakeri	Aggs	FreshLabTecto	D30-Cbak-B-1	Whorl	DVnormal	Colony.length.mm.	15.26	
KonaJJ22-218	JPG	Kona June-July 2022	Alejandro Damian-Serrano	Cyclosalpa bakeri	Aggs	FreshLabTecto	D30-Cbak-B-1	Whorl	DVnormal	Zooid.length..mm.	14.6	testis included
KonaJJ22-218	JPG	Kona June-July 2022	Alejandro Damian-Serrano	Cyclosalpa bakeri	Aggs	FreshLabTecto	D30-Cbak-B-1	Whorl	DVnormal	Zooid.length..mm.	15.05	testis included
KonaJJ22-218	JPG	Kona June-July 2022	Alejandro Damian-Serrano	Cyclosalpa bakeri	Aggs	FreshLabTecto	D30-Cbak-B-1	Whorl	DVnormal	Zooid.length..mm.	15.15	testis included
KonaJJ22-361	JPG	Kona June-July 2022	Alejandro Damian-Serrano	Ritteriella retracta	Aggs	FreshLabTecto	D31-Rsp-B-1	Bipinnate	OAnormal	Zooid.number	5	
KonaJJ22-372	JPG	Kona June-July 2022	Alejandro Damian-Serrano	Ritteriella retracta	Aggs	FreshLabTecto	D31-Rsp-B-1	Bipinnate	DVnormal	Colony.length.mm.	73.88	
KonaJJ22-378	JPG	Kona June-July 2022	Alejandro Damian-Serrano	Ritteriella retracta	Aggs	FreshLabTecto	D31-Rsp-B-1	Bipinnate	Stolonormal	Cross.sectional.area..mm2.	349.21	scale from colony diameter meaasured in KonaJJ22-361
KonaJJ22-361	JPG	Kona June-July 2022	Alejandro Damian-Serrano	Ritteriella retracta	Aggs	FreshLabTecto	D31-Rsp-B-1	Bipinnate	OAnormal	Colony.diameter..mm.	29.08	
KonaJJ22-361	JPG	Kona June-July 2022	Alejandro Damian-Serrano	Ritteriella retracta	Aggs	FreshLabTecto	D31-Rsp-B-1	Bipinnate	OAnormal	Colony.diameter..mm.	30.18	
KonaJJ22-361	JPG	Kona June-July 2022	Alejandro Damian-Serrano	Ritteriella retracta	Aggs	FreshLabTecto	D31-Rsp-B-1	Bipinnate	OAnormal	Colony.diameter..mm.	30.82	
KonaJJ22-361	JPG	Kona June-July 2022	Alejandro Damian-Serrano	Ritteriella retracta	Aggs	FreshLabTecto	D31-Rsp-B-1	Bipinnate	OAnormal	Zooid.width..mm.	15.42	
KonaJJ22-361	JPG	Kona June-July 2022	Alejandro Damian-Serrano	Ritteriella retracta	Aggs	FreshLabTecto	D31-Rsp-B-1	Bipinnate	OAnormal	Zooid.width..mm.	15.84	
