Specimen	Species	Experiment	Date	Activity.level	Zooid.length..mm.	Number.of.zooids	Colony.volume..ml.	Container.volume..ml.	Organism.notes	Paired	Timespan	Temperature_range	Treatment	Gross respiration rate (mgO2/min)	Control rate (mgO2/min)	Net respiration rate (mgO2/min)	Biovolume-corrected gross respiration rate (pgO2/min/ml)	Biovolume-corrected net respiration rate (pgO2/min/ml)
D30-Icyl-B-1	Iasis (Weelia) cylindrica	17	6/29/2022	Anesthetized	11	9	12	208	Some broken zooids	No	142	0.899999999999999	Anesthetized	-7.27331587717231e-05	1.53392049512008e-05	-8.8072363722924e-05	-6.06109656431026	-7.339363643577
D30-Pco-B-1	Pegea sp.	17	6/29/2022	Anesthetized	36	5	15	980		No	142	0.899999999999999	Anesthetized	0.000214848845512963	1.53392049512008e-05	0.000199509640561762	14.3232563675309	13.3006427041175
D30-Ramb-B-1	Ritteriella amboinensis	17	6/29/2022	Anesthetized	18	3	1.5	208		No	142	0.899999999999999	Anesthetized	9.94696500833118e-05	1.53392049512008e-05	8.4130445132111e-05	66.3131000555412	56.0869634214073
D30-Ramb-B-2	Ritteriella amboinensis	17	6/29/2022	Anesthetized	15	5	0.8	208		No	142	0.899999999999999	Anesthetized	9.95686741252059e-05	1.53392049512008e-05	8.4229469174005e-05	124.460842656507	105.286836467506
D30-Ramb-B-3	Ritteriella amboinensis	17	6/29/2022	Moderate	17	5	1.4	208	Air bubble found	No	142	0.899999999999999	Intact	-2.4756010473698e-05	1.53392049512008e-05	-4.00952154248988e-05	-17.68286462407	-28.6394395892134
D30-Ramb-B-4	Ritteriella amboinensis	17	6/29/2022	Anesthetized	22	38	6.3	980		No	142	0.899999999999999	Anesthetized	-0.000357148298024287	1.53392049512008e-05	-0.000372487502975488	-56.6902060356011	-59.1250004722996
D31-Bros-B-1	Brooksia rostrata	18	6/30/2022	Moderate	3	7	0.1	208		No	180	3	Intact	5.20000000000016e-05	-2.82857142857144e-05	8.0285714285716e-05	520.000000000016	802.857142857159
D31-Caff-B-1	Cyclosalpa affinis	18	6/30/2022	Anesthetized	32	8	5.5	208	Poop	No	180	3	Anesthetized	-0.000675999999999997	-2.82857142857144e-05	-0.000647714285714282	-122.90909090909	-117.766233766233
D31-Caff-B-2	Cyclosalpa affinis	18	6/30/2022	Anesthetized	32	6	8	208	Poop	No	180	3	Anesthetized	-0.00072552380952381	-2.82857142857144e-05	-0.000697238095238096	-90.6904761904763	-87.154761904762
D31-Cqua-B-1	Cyclosalpa quadriluminis	18	6/30/2022	Anesthetized	13	16	2.8	208	Very long peduncles	No	180	3	Anesthetized	-0.00026990476190476	-2.82857142857144e-05	-0.000241619047619046	-96.3945578231287	-86.2925170068022
D31-Pcon-B-2	Pegea sp.	18	6/30/2022	Moderate	41	3	9	980		No	180	3	Intact	-0.00115499999999999	-2.82857142857144e-05	-0.00112671428571427	-128.333333333332	-125.190476190475
D31-Smax-B-2	Salpa maxima	18	6/30/2022	Moderate	80	3	20	980	Poop, all zooids broken off	No	180	3	Intact	-0.00422333333333332	-2.82857142857144e-05	-0.00419504761904761	-211.166666666666	-209.75238095238
D32-Cbak-B-1	Cyclosalpa bakeri	19	7/1/2022	Anesthetized	12	5	1.3	208	2 zooids broke	No	180	3.1	Anesthetized	0.000195619047619048	6.85714285714287e-05	0.000127047619047619	150.476190476191	97.728937728938
D32-Cpol-B-1	Cyclosalpa polae	19	7/1/2022	Low	28	13	6	980	1 zooid broke	No	180	3.1	Intact	-0.000944999999999969	6.85714285714287e-05	-0.0010135714285714	-157.499999999995	-168.928571428566
D32-Icyl-B-1	Iasis (Weelia) cylindrica	19	7/1/2022	Anesthetized	6	26	0.1	208	yellowtail	No	180	3.1	Anesthetized	0.000131238095238096	6.85714285714287e-05	6.26666666666678e-05	1312.38095238096	626.666666666677
D32-Icyl-B2	Iasis (Weelia) cylindrica	19	7/1/2022	Active	7	76	0.5	208	yellowtail, many broken	No	180	3.1	Intact	-0.000638857142857143	6.85714285714287e-05	-0.000707428571428571	-1277.71428571429	-1414.85714285714
D32-Rsp-B-1	Ritteriella sp.	19	7/1/2022	Moderate	30	55	34	980	many amphipods	No	180	3.1	Intact	-0.0151083333333333	6.85714285714287e-05	-0.0151769047619048	-444.362745098039	-446.379551820728
D32-Sasp-B-1	Salpa aspera	19	7/1/2022	Anesthetized	28	9	6	208		No	180	3.1	Anesthetized	-0.00104495238095238	6.85714285714287e-05	-0.0011135238095238	-174.158730158729	-185.587301587301
D33-Icyl-B-1	Iasis (Weelia) cylindrica	20	9/11/2022	Anesthetized	6	11	0.3	208		No	180	1.8	Anesthetized	0.00016011210503044	0.000251261113567565	-9.11490085371251e-05	533.707016768133	-303.830028457084
D33-Sfus-B-1	Salpa fusiformis	20	9/11/2022	Anesthetized	28	3	1	208		No	180	1.8	Anesthetized	0.000166946158293934	0.000251261113567565	-8.43149552736315e-05	166.946158293934	-84.3149552736315
D33-Sfus-B-2	Salpa fusiformis	20	9/11/2022	Moderate	27	11	5.5	208		No	180	1.8	Intact	-0.00103654052583246	0.000251261113567565	-0.00128780163940002	-188.461913787719	-234.145752618186
D33-Smax-B-1	Salpa maxima	20	9/11/2022	Moderate	100	5	32.5	980	Vibilia amphipods	No	180	1.8	Intact	-0.0111790864256318	0.000251261113567565	-0.0114303475391993	-343.971890019439	-351.703001206134
D35-Bros-B-1	Brooksia rostrata	21	9/12/2022	Anesthetized	4	22	0.2	208		No	200	5.1	Anesthetized	7.28000000000003e-05	0.000121828571428572	-4.90285714285717e-05	364.000000000002	-245.142857142859
D35-Pcon-B-1	Pegea sp.	21	9/12/2022	Anesthetized	35	8	23	980	Lots of poop, broken zooids	No	200	5.1	Anesthetized	-0.00153300000000001	0.000121828571428572	-0.00165482857142858	-66.652173913044	-71.9490683229819
D35-Sfus-B-1	Salpa fusiformis	21	9/12/2022	Anesthetized	15	13	1.6	208		No	200	5.1	Anesthetized	-0.000133714285714288	0.000121828571428572	-0.00025554285714286	-83.5714285714303	-159.714285714288
D37-Cbak-B-1	Cyclosalpa bakeri	22	9/13/2022	Low	10	8	1.5	208		No	180	0.299999999999997	Intact	-0.000136531643800519	3.94120798490527e-06	-0.000140472851785424	-91.0210958670127	-93.6485678569496
