"Filename","Frame","Time..mins.","X..mm.Zooid","Y..mm.Zooid","Z..mm.Zooid","NumberZooid","X..mm.Junk","Y..mm.Junk","Z..mm.Junk","Delta_time_s","Xd_mm","Yd_mm","Zd_mm","Delta_X_mm","Delta_Y_mm","Delta_Z_mm","Distance_mm","Speed_mm_s","Species","Architecture","Zooid.number","Comment","Speed_mms_abs","Speed_per_zooid","Colony_motion_length_mm","Colony_stolon_length_mm","Zooid_length_mm","Zooid_width_mm","Frontal_CSA_mm2","Jet_motion_angle","Dorso.Ventral_Zooid_Stolon_angle","colony_volume","speed_per_vol"
"A001C0164_20210709183900_0001",105,0.0146,30.856,48.358,-409.57,"0",5.561,51.581,-539.642,-0.0132,25.295,-3.22300000000001,130.072,2.835,5.479,-57.1139999999999,57.4461979768896,-435.198469521891,"Iasis cylindrica","Linear",9,"Weelia agg- nice sequence (3 separate chains)",435.198469521891,48.3553855024323,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A001C0164_20210709183900_0001",105,0.0146,30.856,48.358,-409.57,"0",5.561,51.581,-539.642,-0.0132,25.295,-3.22300000000001,130.072,2.835,5.479,-57.1139999999999,57.4461979768896,-435.198469521891,"Iasis cylindrica","Linear",134,"Weelia agg- nice sequence (3 separate chains)",435.198469521891,3.24774977255142,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A001C0122_20210709171630_0001",110,0.0153,-57.448,-16.218,-2127.618,"0",-205.711,24.961,-926.281,0.000699999999999999,148.263,-41.179,-1201.337,167.247,-113.294,-1141.547,1159.28281392161,165611.83056023,"Iasis cylindrica","Linear",9,"weelia agg",165611.83056023,18401.3145066922,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A002C0044_20220421224612_0002",110,0.0306,-18.729,-25.385,-371.779,"0",52.932,16.336,-478.377,0.0153,-71.661,-41.721,106.598,-69.827,-57.447,-12.4809999999999,91.2783824297955,596.590734835265,"Iasis cylindrica","Linear",17,"shorter chain starts video, longer helical at end but not clear and no dye; given to Anneliese",596.590734835265,35.0935726373685,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A002C0081_20220422224921_0001",113,0.0314,177.811,54.536,-636.335,"0",52.48,-28.325,-426.203,0.000799999999999999,125.331,82.861,-210.132,187.102,-1.66799999999999,-76.0660000000001,201.980140073226,25247.5175091533,"Salpa aspera","Linear",6,"dye, same specimen as A002C0080_20220422224908_0001",25247.5175091533,4207.91958485888,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A001C0114_20210709170545_0001",120,0.0167,-27.501,16.294,-290.838,"0",86.109,12.888,-362.779,-0.0147,-113.61,3.406,71.941,-227.718,-133.541,276.454,382.25057268891,-2600.34403189735,"Brooksia rostrata","Bipinnate",33,"",2600.34403189735,78.7983039968894,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A001C0172_20210709184345_0001",120,0.145,-8.657,-51.093,-473.636,"0",79.887,42.669,-402.124,0.1283,-88.544,-93.762,-71.512,157.219,1.795,501.617,525.681130225349,409.728082794504,"Iasis cylindrica","Linear",14,"Weelia chain (x2); short chains, larger individuals",409.728082794504,29.2662916281789,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A001C0172_20210709184345_0001",120,0.145,-8.657,-51.093,-473.636,"0",79.887,42.669,-402.124,0.1283,-88.544,-93.762,-71.512,157.219,1.795,501.617,525.681130225349,409.728082794504,"Iasis cylindrica","Linear",10,"Weelia chain (x2); short chains, larger individuals",409.728082794504,40.9728082794504,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A001C0211_20210710142218_0001",120,0.0167,29.691,-2.767,-400.278,"0",26.092,10.573,-396.023,-0.1283,3.599,-13.34,-4.255,50.866,-4.22999999999999,82.203,96.7604054611183,-75.4173074521577,"Cyclosalpa bakeri","Whorl",6,"",75.4173074521577,12.5695512420263,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A001C0349_20210922220958_0001",120,0.0167,-87.146,12.139,-447.841,"0",-2.473,9.525,-434.336,-0.8657,-84.673,2.614,-13.505,-0.499000000000009,-79.988,115.168,140.221244356909,-16.1974407250675,"Ritteriella sp.","Bipinnate",31,"dye",16.1974407250675,0.522498087905402,NA,NA,23.682,16.25,NA,NA,NA,193859.371875,8.35525286624344e-05
